觀測時間(hour),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),全天空日射量(MJ/㎡),測站氣壓(hPa),氣溫(℃),相對溼度(%),風速(m/s),風向(360degree),日期
4,1.3,256,0,0,1007.3,26,100,0.2,0,2024/6/1
5,1.5,252,0,0,1007.3,25.9,99,0.1,0,2024/6/1
6,1.1,243,0,0,1007.7,26.1,99,0,0,2024/6/1
7,1.3,206,0,0.1,1008.1,26.7,98,0.1,0,2024/6/1
8,1.6,218,0,0.5,1008.1,28.3,93,0.3,221,2024/6/1
9,1.6,223,0,1.4,1008.3,30.5,83,0.1,0,2024/6/1
10,1.5,139,0,0.9,1008.4,31.1,77,0.1,0,2024/6/1
11,2.2,85,0,1.3,1007.9,31.4,77,0.5,29,2024/6/1
12,2.7,28,0,1.8,1007.2,30.4,81,0.5,37,2024/6/1
13,2.4,75,0,1.4,1006.4,31.3,78,0.3,16,2024/6/1
14,2.5,64,0,0.9,1006.1,30.1,83,0.7,53,2024/6/1
15,1.9,78,0,0.4,1006,29,91,0,0,2024/6/1
16,1.4,21,0,0.3,1005.6,28.7,92,0,0,2024/6/1
17,0.8,7,0,0.1,1005.4,28.4,94,0,0,2024/6/1
18,1.2,360,0,0,1006,27.8,94,0,0,2024/6/1
19,1.6,26,0,0,1006.4,27.1,97,0.1,0,2024/6/1
20,1.6,38,0,0,1006.7,26.8,98,0,0,2024/6/1
21,1.6,37,0,0,1007.2,26.6,98,0,0,2024/6/1
22,1,41,0,0,1007.4,26.6,99,0.1,0,2024/6/1
23,2.9,360,0,0,1006.9,25.9,99,0.2,0,2024/6/1
24,1.8,73,0,0,1006.2,25.6,99,0.4,354,2024/6/1
1,0.8,22,0,0,1005.6,25.5,99,0,0,2024/6/2
2,1.2,77,0,0,1005.1,25.4,99,0,0,2024/6/2
3,0.5,55,0,0,1004.8,25.3,99,0,0,2024/6/2
4,1.3,69,0,0,1004.6,25.1,99,0,0,2024/6/2
5,0,0,0.5,0,1004.6,25.2,100,0,0,2024/6/2
6,0,0,0,0,1004.9,25.4,100,0,0,2024/6/2
7,0,0,0,0.1,1005.1,25.6,100,0,0,2024/6/2
8,0.6,184,2,0.1,1005.3,25.9,100,0,0,2024/6/2
9,1.4,240,0,0.7,1004.9,26.9,99,0,0,2024/6/2
10,1.2,201,0,0.4,1004.8,27.1,96,0,0,2024/6/2
11,0.2,0,0,0.5,1004.3,27.6,94,0,0,2024/6/2
12,0.7,24,0.5,0.3,1003.6,26.7,93,0,0,2024/6/2
13,0,0,1,0.2,1002.3,26.6,96,0,0,2024/6/2
14,1.6,32,0,0.4,1001.7,26.6,96,0.2,0,2024/6/2
15,1.7,71,0,0.2,1001.1,26.1,96,0.4,61,2024/6/2
16,4.2,70,0.5,0.1,1000.7,24.8,98,0.7,68,2024/6/2
17,2.7,93,0.5,0.1,1001,24.5,99,0,0,2024/6/2
18,1.1,58,0.5,0,1001.2,24.5,99,0.1,0,2024/6/2
19,2.4,94,1.5,0,1001.8,24,99,0.1,0,2024/6/2
20,0.3,344,2,0,1001.8,24,100,0,0,2024/6/2
21,0.5,279,0,0,1002.2,24,100,0,0,2024/6/2
22,1.2,276,2,0,1002.7,23.9,100,0,0,2024/6/2
23,1.6,214,5,0,1002.5,23.9,100,0,0,2024/6/2
24,1.1,216,3.5,0,1002.1,23.8,100,0,0,2024/6/2
1,2.4,103,0.5,0,1001.6,22.9,100,0.4,79,2024/6/3
2,2.5,18,0,0,1001.4,22.3,100,0.4,53,2024/6/3
3,1,40,0.5,0,1001.4,22.2,100,0,0,2024/6/3
4,0.8,30,0,0,1001.8,22.3,100,0,0,2024/6/3
5,1.1,256,0.5,0,1002.3,22.4,100,0,0,2024/6/3
6,0.7,215,0,0,1003,22.7,100,0,0,2024/6/3
7,0.8,259,0,0.1,1003.5,22.9,100,0,0,2024/6/3
8,1.2,59,0,0.2,1004.2,22.9,100,0.1,0,2024/6/3
9,1.8,28,0,0.4,1004.8,22.5,98,0.4,19,2024/6/3
10,3.4,105,0,0.6,1004.9,23,93,0.6,326,2024/6/3
11,2.4,282,0,0.7,1004.8,23.8,89,0.9,288,2024/6/3
12,2.3,261,0,0.5,1004.7,24,89,0.3,256,2024/6/3
13,2.8,211,0,1,1004.2,24.9,86,0.4,242,2024/6/3
14,2.4,259,0,0.8,1004.2,24.5,84,0.6,249,2024/6/3
15,1.9,175,0,0.6,1004.6,24.2,87,0,0,2024/6/3
16,2,232,0,0.2,1005,23.3,91,0,0,2024/6/3
17,2.2,86,0.5,0.1,1005.6,21.9,97,0.1,0,2024/6/3
18,1.4,196,0,0,1006,21.9,98,0.3,191,2024/6/3
19,2,223,0,0,1006.9,21.6,99,0.6,211,2024/6/3
20,2.4,213,0,0,1007.2,21.6,99,0,0,2024/6/3
21,1.8,200,0,0,1008.1,21.7,99,0.3,232,2024/6/3
22,1.6,202,0,0,1008.7,21.7,100,0.4,228,2024/6/3
23,1.7,215,0,0,1008.4,21.5,99,0.4,235,2024/6/3
24,1.8,206,0,0,1007.9,21.2,99,0.2,0,2024/6/3
1,1.8,233,0,0,1007.3,20.5,98,0.3,214,2024/6/4
2,1.6,181,0,0,1006.8,19.8,98,0.3,207,2024/6/4
3,1.2,216,0,0,1006.5,19.5,98,0.1,0,2024/6/4
4,1.4,261,0,0,1006.6,20.2,98,0.2,0,2024/6/4
5,1.5,244,0,0,1007.1,20.4,98,0.2,0,2024/6/4
6,0.9,239,0,0,1007.7,20.6,98,0.1,0,2024/6/4
7,1.8,166,0,0.2,1008.2,21.4,97,0.3,213,2024/6/4
8,2.2,220,0,0.5,1008.7,22.4,93,0.9,230,2024/6/4
9,3.5,218,0,1.1,1009,24.6,83,0.7,240,2024/6/4
10,2.6,212,0,1.6,1009.3,26.1,76,0.7,244,2024/6/4
11,2.2,225,0,1.9,1009.4,27.3,72,0.4,189,2024/6/4
12,1.5,199,0,1.3,1009.1,27.9,72,0.4,161,2024/6/4
13,1.8,195,0,1.2,1008.8,27.5,70,0.4,30,2024/6/4
14,2.3,37,0,1.2,1008.4,27.9,72,0.6,50,2024/6/4
15,2.5,27,0,1.2,1008.4,27.9,72,0.4,77,2024/6/4
16,2.3,34,0,0.7,1008.3,27.2,77,0.3,70,2024/6/4
17,2,101,0,0.3,1008.5,26.5,82,0.3,37,2024/6/4
18,0.9,74,0,0.1,1008.8,25.1,86,0,0,2024/6/4
19,1,26,0,0,1009,24.1,89,0,0,2024/6/4
20,0.3,360,0,0,1009.8,23.3,91,0,0,2024/6/4
21,0,0,0,0,1010.3,23,94,0,0,2024/6/4
22,1,221,0,0,1010.5,23.1,95,0,0,2024/6/4
23,1.1,113,0,0,1010.3,23.1,93,0.1,0,2024/6/4
24,1.7,193,0,0,1009.9,23,87,0.1,0,2024/6/4
1,1.5,220,0,0,1009.1,22.6,91,0.2,0,2024/6/5
2,2.1,226,0,0,1008.7,22.4,85,0.3,229,2024/6/5
3,1.5,307,0,0,1008.2,21.9,88,0,0,2024/6/5
4,0,0,0,0,1008,21,96,0,0,2024/6/5
5,0.8,223,0,0,1008.2,21.1,95,0,0,2024/6/5
6,0.9,223,0,0,1008.6,21.6,95,0,0,2024/6/5
7,2.1,226,0,0.3,1009.2,23,89,0.2,0,2024/6/5
8,2.4,203,0,0.9,1009.5,25.2,78,0.7,233,2024/6/5
9,3,206,0,1.8,1009.5,27.8,67,0.7,244,2024/6/5
10,2.4,238,0,2,1009.5,29.4,56,0.8,238,2024/6/5
11,2.9,252,0,3.1,1009.4,31.1,55,0.6,217,2024/6/5
12,3.2,98,0,2.7,1009,30.8,60,0.7,135,2024/6/5
13,2.8,169,0,1.3,1008.5,28.2,71,0.5,148,2024/6/5
14,2.5,202,0,0.3,1008.3,27.1,72,0.4,248,2024/6/5
15,2.2,261,0,0.3,1007.7,26.6,80,0,0,2024/6/5
16,1.6,236,0,0.4,1007.4,26.6,76,0.2,0,2024/6/5
17,1.3,260,0,0.1,1007.6,25.9,83,0,0,2024/6/5
18,0,0,0,0.1,1007.7,25.5,87,0,0,2024/6/5
19,0,0,0,0,1008.1,24.7,90,0,0,2024/6/5
20,0,0,0,0,1008.6,24.3,93,0,0,2024/6/5
21,0.3,180,0,0,1008.6,23.8,93,0,0,2024/6/5
22,0,0,0,0,1009.5,23.8,95,0,0,2024/6/5
23,1.3,251,0,0,1009.1,23.9,92,0.3,247,2024/6/5
24,1.7,277,0,0,1008.4,23.9,91,0,0,2024/6/5
1,0.8,294,0,0,1007.8,23.5,94,0,0,2024/6/6
2,0.5,250,0,0,1007.3,23.6,96,0,0,2024/6/6
3,0.6,215,0,0,1007.1,23.3,96,0,0,2024/6/6
4,1,223,0,0,1006.9,23.1,95,0,0,2024/6/6
5,0.7,196,0,0,1006.7,23.3,96,0,0,2024/6/6
6,1.3,253,0,0,1006.9,23.4,96,0,0,2024/6/6
7,0.9,225,0,0.1,1007.1,23.7,95,0,0,2024/6/6
8,1.8,212,0,0.6,1007.1,26.1,83,0.3,206,2024/6/6
9,1.9,269,0,1.3,1007,28.2,75,0.4,191,2024/6/6
10,2.3,300,0,2.9,1006.7,30.6,68,0.6,209,2024/6/6
11,4.3,276,0,3.2,1006.9,30.5,70,0.6,164,2024/6/6
12,2.5,128,0,1.7,1006.5,30.2,72,0.5,134,2024/6/6
13,2.6,231,0,2.2,1005.8,30.4,73,0.6,151,2024/6/6
14,3.1,234,0,1.1,1005.6,28.7,79,0.6,139,2024/6/6
15,3.8,111,0,0.7,1005,27.6,82,0.5,165,2024/6/6
16,2.1,123,0,0.3,1004.6,27.8,81,0,0,2024/6/6
17,1.5,288,0,0.1,1004.7,26.8,87,0.2,0,2024/6/6
18,1.1,65,0,0.1,1004.8,26.4,90,0.1,0,2024/6/6
19,1,73,0,0,1005.3,25.9,93,0,0,2024/6/6
20,1,43,0,0,1005.8,25.5,94,0.1,0,2024/6/6
21,1.6,18,0,0,1006.2,25.3,95,0.1,0,2024/6/6
22,0.6,14,0.5,0,1006.3,25.2,97,0,0,2024/6/6
23,0.7,14,1,0,1006.6,24.9,98,0,0,2024/6/6
24,1.2,4,17,0,1006.1,24.5,99,0.1,0,2024/6/6
1,0.8,48,6.5,0,1005.6,24.3,100,0,0,2024/6/7
2,1,73,2.5,0,1004.3,24.2,100,0,0,2024/6/7
3,1.5,334,0.5,0,1004.3,24.3,100,0.3,348,2024/6/7
4,1.1,33,0.5,0,1004.3,24.4,100,0,0,2024/6/7
5,0.5,27,0,0,1003.8,24.2,100,0,0,2024/6/7
6,1.1,286,0,0,1004.4,24.4,100,0,0,2024/6/7
7,0.6,276,0,0.2,1004.5,25,100,0,0,2024/6/7
8,0.8,336,0,0.6,1004.8,25.7,99,0,0,2024/6/7
9,1.9,343,0,0.4,1005,25.9,97,0.1,0,2024/6/7
10,3,66,0,1.3,1004.8,28.4,87,0.8,65,2024/6/7
11,4.2,79,0,2.8,1004.3,29.8,81,1.2,79,2024/6/7
12,5.2,108,0,3.6,1003.7,29.8,83,1,49,2024/6/7
13,3.7,75,0,1.4,1003.2,28.7,84,1.1,61,2024/6/7
14,4.3,45,0,1.1,1002.8,27.5,88,0.9,62,2024/6/7
15,3.4,18,0,0.3,1002.5,27,90,0.8,50,2024/6/7
16,3.8,118,0.5,0.1,1002.3,25.8,96,0.6,13,2024/6/7
17,2.2,57,14.5,0.1,1002.3,25.5,99,0,0,2024/6/7
18,1.2,71,17,0,1002.6,25.3,100,0.1,0,2024/6/7
19,1,353,10.5,0,1003.5,25.2,100,0,0,2024/6/7
20,1.4,255,2.5,0,1003.1,25.1,100,0.1,0,2024/6/7
21,2.1,207,2.5,0,1003.2,25,100,0.3,270,2024/6/7
22,1.4,244,0,0,1004.5,25,100,0,0,2024/6/7
23,0.5,72,0,0,1004.6,25.1,100,0,0,2024/6/7
24,0,0,0,0,1004.6,25.2,100,0,0,2024/6/7
1,0,0,0,0,1003.8,25.1,100,0,0,2024/6/8
2,0.8,260,0,0,1003.5,25,100,0,0,2024/6/8
3,0.3,237,0,0,1002.4,24.6,100,0,0,2024/6/8
4,0.7,229,0,0,1002.7,24.5,100,0,0,2024/6/8
5,1.2,204,0.5,0,1003.2,24.3,100,0,0,2024/6/8
6,1.8,212,0,0,1003.6,24.5,100,0.5,221,2024/6/8
7,1.6,274,0,0.3,1004.4,24.9,100,0.1,0,2024/6/8
8,1.5,210,0,0.8,1004.5,26.3,97,0.1,0,2024/6/8
9,2,235,0,1.6,1004.3,28.3,84,0.1,0,2024/6/8
10,3,8,0,2.4,1004.7,30.5,83,0.9,40,2024/6/8
11,4,41,0,3.1,1004.7,30,83,1.3,51,2024/6/8
12,4.5,46,0,2.7,1003.8,30.5,81,1.3,70,2024/6/8
13,3.7,103,0,1.8,1003.1,29.7,84,1.1,63,2024/6/8
14,4.8,8,0,2.6,1002.3,30.4,79,1.1,39,2024/6/8
15,3.2,72,0,1.4,1002.2,28.8,86,0.8,76,2024/6/8
16,3.5,92,0,1.4,1002.5,28.7,86,0.8,61,2024/6/8
17,3.5,61,0,0.3,1002.9,28.1,89,0.7,63,2024/6/8
18,3.2,98,0,0.1,1003.3,27.2,94,0.2,0,2024/6/8
19,0.7,40,0,0,1004,26.7,97,0,0,2024/6/8
20,0.6,15,0,0,1004.2,26.3,98,0,0,2024/6/8
21,0.2,0,0,0,1004.6,26,99,0,0,2024/6/8
22,0,0,0,0,1005.5,25.9,99,0,0,2024/6/8
23,1.4,32,0,0,1005.2,25.9,99,0,0,2024/6/8
24,1.3,303,0,0,1004.5,25.6,100,0,0,2024/6/8
1,0.2,0,0,0,1004.4,25.5,100,0,0,2024/6/9
2,0,0,0,0,1004.2,25.4,100,0,0,2024/6/9
3,0.3,338,0,0,1003.7,25.1,100,0,0,2024/6/9
4,0,0,0,0,1003.7,24.7,100,0,0,2024/6/9
5,0.6,240,0,0,1004.2,24.8,100,0,0,2024/6/9
6,1.2,211,0,0,1004.7,25,100,0,0,2024/6/9
7,1.4,271,0.5,0.4,1004.8,26.3,99,0.1,0,2024/6/9
8,1.9,192,0,1.4,1005.2,29.2,85,0.6,195,2024/6/9
9,2,273,0,2.3,1005.5,31.2,76,0.5,190,2024/6/9
10,2.6,146,0,2.8,1005.6,32,73,0.5,179,2024/6/9
11,1.8,134,0,1.5,1005.8,31,78,0.1,0,2024/6/9
12,2.5,329,0,1.1,1005.7,30.3,79,0.3,305,2024/6/9
13,2.2,93,0,0.8,1005.4,30.2,81,0.7,53,2024/6/9
14,2.7,76,0,0.3,1005.5,28.6,87,0.1,0,2024/6/9
15,1.5,74,0,0.5,1005.1,29.4,84,0.3,88,2024/6/9
16,0.7,198,0,0.4,1005.2,29,84,0,0,2024/6/9
17,1.5,311,0,0,1005.2,27.7,90,0.1,0,2024/6/9
18,1.1,223,0.5,0.1,1005.8,27.2,95,0,0,2024/6/9
19,1.3,270,0,0,1006.1,26.3,98,0,0,2024/6/9
20,0,0,0,0,1007,26.2,99,0,0,2024/6/9
21,0,0,0,0,1007.5,26.1,99,0,0,2024/6/9
22,0.8,40,0,0,1007.8,25.9,100,0.1,0,2024/6/9
23,0.6,40,0,0,1008.1,25.8,100,0,0,2024/6/9
24,0,0,0,0,1007.8,25.7,100,0,0,2024/6/9
1,1.2,61,0,0,1007.3,25.5,100,0,0,2024/6/10
2,1,15,0.5,0,1006.5,25.4,100,0,0,2024/6/10
3,0,0,0,0,1006.2,25.2,100,0,0,2024/6/10
4,0,0,0,0,1006,25,100,0,0,2024/6/10
5,1.4,212,0,0,1006.3,25,100,0.3,216,2024/6/10
6,1,276,0,0,1006.6,25.2,100,0,0,2024/6/10
7,2.2,203,0,0.3,1006.6,25.7,100,0.3,207,2024/6/10
8,2.4,224,0,0.6,1006.5,26.7,97,0.3,228,2024/6/10
9,2.2,201,0,1.6,1005.8,29.3,82,0.5,193,2024/6/10
10,1.2,210,0,1.3,1004.9,30,84,0.1,0,2024/6/10
11,2.2,288,0,2.4,1003.9,31.1,77,0.7,321,2024/6/10
12,4.1,65,0,3.1,1003,31.8,72,1.1,87,2024/6/10
13,3.5,97,0,2.6,1003.6,31.6,75,0.9,84,2024/6/10
14,3,95,0,1.4,1003.4,30.2,81,1.1,66,2024/6/10
15,4.5,107,0,1.8,1003,30.8,78,0.9,70,2024/6/10
16,3,354,0,0.7,1003.2,29.2,83,0.6,58,2024/6/10
17,2.8,72,0,0.4,1003.3,28.8,86,0.6,60,2024/6/10
18,2.4,309,0,0.1,1003.9,28.3,87,0.2,0,2024/6/10
19,1.3,75,0,0,1004.4,27.3,92,0,0,2024/6/10
20,0.4,29,0,0,1005.3,26.6,95,0,0,2024/6/10
21,0,0,0,0,1006,26.6,96,0,0,2024/6/10
22,0,0,0,0,1006.5,26.4,97,0,0,2024/6/10
23,1,300,0,0,1006.5,26.2,97,0,0,2024/6/10
24,1,300,0,0,1005.7,26.1,97,0,0,2024/6/10
1,1.7,281,0,0,1004.6,25.9,97,0.3,234,2024/6/11
2,1.7,252,0,0,1004.2,26,97,0.2,0,2024/6/11
3,1,245,0,0,1003.8,25.9,97,0,0,2024/6/11
4,0.8,188,0,0,1004,25.5,98,0,0,2024/6/11
5,0.2,0,0,0,1004.1,25.3,99,0,0,2024/6/11
6,0.4,193,0,0,1004.6,25.7,100,0,0,2024/6/11
7,0.7,178,0,0.1,1004.6,25.9,99,0,0,2024/6/11
8,1.4,220,0,0.5,1004.5,27.2,95,0.3,242,2024/6/11
9,1.3,196,0,0.6,1004.2,28,90,0.2,0,2024/6/11
10,1.6,205,0,0.8,1003.5,29,85,0.4,222,2024/6/11
11,1.7,225,0,1.5,1002.7,30.3,81,0.1,0,2024/6/11
12,1.5,67,0,1.5,1002.6,31.1,74,0.2,0,2024/6/11
13,2.4,35,0,0.9,1002.1,30.8,79,0.4,6,2024/6/11
14,1.7,51,0,0.9,1001.9,30.7,82,0.3,35,2024/6/11
15,1.6,313,0,0.6,1001.5,29.8,85,0.5,33,2024/6/11
16,2.3,76,0,0.5,1001.2,29.4,88,0.4,68,2024/6/11
17,2,16,0,0.3,1001,29.2,88,0.1,0,2024/6/11
18,1.8,354,0,0.1,1001.7,28.5,93,0,0,2024/6/11
19,0.6,351,0,0,1001.7,27.5,96,0,0,2024/6/11
20,0.5,66,0,0,1002.2,26.9,98,0,0,2024/6/11
21,0,0,0,0,1002.4,26.7,99,0,0,2024/6/11
22,1.2,201,0,0,1002.8,26.5,99,0,0,2024/6/11
23,0.4,220,0,0,1002.3,26.3,99,0,0,2024/6/11
24,1.2,220,0,0,1002,26.1,99,0,0,2024/6/11
1,1.9,217,0,0,1001.4,26.1,99,0.2,0,2024/6/12
2,1.5,271,0,0,1001,25.9,99,0,0,2024/6/12
3,1,266,0,0,1001.2,25.7,99,0,0,2024/6/12
4,1.4,186,0,0,1001.5,25.6,99,0.3,241,2024/6/12
5,1.3,213,0,0,1001.4,25.4,99,0,0,2024/6/12
6,1.3,213,0,0,1002.1,25.6,99,0.1,0,2024/6/12
7,1.1,194,0,0.2,1002.4,26.3,98,0.2,0,2024/6/12
8,1.7,286,0,0.7,1002.9,28,90,0.2,0,2024/6/12
9,1.7,228,0,1.9,1002.6,31.5,74,0.3,235,2024/6/12
10,1.7,25,0,1.6,1002.4,31.2,79,0.3,56,2024/6/12
11,1.6,358,0,1.5,1002.1,31.5,75,0.3,35,2024/6/12
12,2.5,100,0,1.9,1001.7,32.7,70,0.5,78,2024/6/12
13,3.1,46,0,2.3,1001.3,33.5,67,1.2,54,2024/6/12
14,3.7,354,0,1.8,1001.4,30.8,79,0,0,2024/6/12
15,2.1,74,0,0.9,1001,30.6,79,0.2,0,2024/6/12
16,2.1,43,0,0.5,1000.3,30.2,82,0.5,65,2024/6/12
17,2.4,53,0,1,1000.2,30.5,78,0,0,2024/6/12
18,0.8,40,0,0.1,1000.5,28.3,88,0,0,2024/6/12
19,0,0,0,0,1000.6,26.9,93,0,0,2024/6/12
20,0.6,79,0,0,1001.2,26.5,96,0,0,2024/6/12
21,0,0,0,0,1001.7,26.3,96,0,0,2024/6/12
22,1.2,202,0,0,1001.7,26.4,97,0,0,2024/6/12
23,1.1,204,0,0,1001.6,26.5,97,0,0,2024/6/12
24,1,217,0,0,1000.7,26.2,98,0,0,2024/6/12
1,0.7,218,0,0,1000.1,25.8,98,0,0,2024/6/13
2,1.2,215,0,0,999.6,25.3,99,0,0,2024/6/13
3,0.7,226,0,0,999.5,25.1,99,0.1,0,2024/6/13
4,1.7,219,0,0,999.8,25.4,99,0.1,0,2024/6/13
5,1.1,220,0,0,999.7,25.2,99,0.1,0,2024/6/13
6,1.1,211,0,0,1000.1,25.4,99,0.2,0,2024/6/13
7,1.7,190,0,0.2,1000.9,26.3,97,0.4,226,2024/6/13
8,1.2,217,0,0.2,1001.2,26.8,95,0,0,2024/6/13
9,1.3,204,0,0.4,1001.9,27.6,90,0.1,0,2024/6/13
10,1.4,225,0,0.8,1001.1,29,84,0.3,77,2024/6/13
11,2.7,331,0,1.9,1000.1,31.2,74,0.5,320,2024/6/13
12,2.7,22,0,3,999.3,33.2,69,0.9,53,2024/6/13
13,3.2,354,0,3.3,999.4,32.6,68,0.9,36,2024/6/13
14,3.6,34,0,2.8,999.4,33.1,62,1.2,72,2024/6/13
15,3.2,100,0,1.4,999.8,30.4,77,0.8,57,2024/6/13
16,2.6,35,0,0.9,999.4,31.4,73,0.9,74,2024/6/13
17,2.9,27,0,1,999.8,30.2,77,0.8,56,2024/6/13
18,1.6,98,0,0.2,1000,29.4,86,0,0,2024/6/13
19,0.3,345,0,0,1000.1,27.6,93,0,0,2024/6/13
20,0.4,318,0,0,1000.7,26.9,96,0,0,2024/6/13
21,1.1,210,0,0,1001.6,26.4,96,0.2,0,2024/6/13
22,1,222,0,0,1001.9,26.4,96,0,0,2024/6/13
23,1,187,0,0,1001.5,26.3,96,0.1,0,2024/6/13
24,1,288,0,0,1001.2,26.1,97,0,0,2024/6/13
1,0.9,251,0,0,1000.8,25.8,97,0,0,2024/6/14
2,0.9,226,0,0,1000.2,25.4,98,0,0,2024/6/14
3,1.1,242,0,0,1000,25.5,98,0,0,2024/6/14
4,0.6,203,0,0,1000,25.5,98,0,0,2024/6/14
5,0.9,214,0,0,999.7,25.3,98,0,0,2024/6/14
6,0.5,212,0,0,1000.2,25.6,99,0,0,2024/6/14
7,1.4,267,0,0.2,999.9,26.4,97,0,0,2024/6/14
8,1.5,237,0,0.3,1000.4,27.1,93,0.1,0,2024/6/14
9,1.6,214,0,0.4,1000.5,27.6,92,0.2,0,2024/6/14
10,1.2,188,0,0.8,999.8,28.9,85,0,0,2024/6/14
11,1.6,66,0,1.2,1000.2,30.3,81,0.4,48,2024/6/14
12,2.9,30,0,1.6,1000.1,30.4,81,0.5,68,2024/6/14
13,3.4,84,0,2.2,999.6,31.8,79,0.9,74,2024/6/14
14,3.9,70,0,2,999.8,30.6,82,0.4,74,2024/6/14
15,2.5,337,0,1.2,999.8,30.6,82,0.2,0,2024/6/14
16,1.8,45,0,0.8,999.5,30.7,79,0,0,2024/6/14
17,0.9,32,0,0.4,999.5,29.9,83,0.1,0,2024/6/14
18,0.7,350,0,0.2,999.8,28.9,88,0,0,2024/6/14
19,0,0,0,0,1000,27.4,93,0,0,2024/6/14
20,0.5,163,0,0,1000.3,26.7,96,0,0,2024/6/14
21,0.5,212,0,0,1000.9,26.1,97,0,0,2024/6/14
22,0.9,212,0,0,1001.5,25.5,97,0.1,0,2024/6/14
23,0.9,209,0,0,1001.5,25.5,97,0.1,0,2024/6/14
24,1.1,236,0,0,1001.1,25.4,96,0.3,252,2024/6/14
1,1.4,220,0,0,1000.5,24.9,96,0,0,2024/6/15
2,0.1,0,0,0,1000.5,24.5,98,0,0,2024/6/15
3,0,0,0,0,1000.1,24.4,99,0,0,2024/6/15
4,0,0,0,0,999.9,24.3,100,0,0,2024/6/15
5,0.9,204,0,0,999.9,23.9,100,0,0,2024/6/15
6,0.9,220,0,0,1000.1,24.4,100,0,0,2024/6/15
7,2.8,207,0,0.6,1000.3,26.6,96,0.3,228,2024/6/15
8,3.2,159,0,1.6,1000.9,29.8,78,0.6,208,2024/6/15
9,1.7,188,0,2.2,1001.1,31.9,69,0.6,40,2024/6/15
10,3.6,21,0,2.9,1001.2,32.1,72,1,55,2024/6/15
11,3.9,100,0,3.3,1001.1,32.2,71,0.8,51,2024/6/15
12,3.8,99,0,3.3,1000.8,32.4,67,1.2,79,2024/6/15
13,4.6,136,0,3.7,1000.6,32.7,68,1.4,83,2024/6/15
14,4.6,116,0,3,1000.6,32.8,66,1.1,68,2024/6/15
15,4.5,115,0,2.9,1000.7,33,66,1,74,2024/6/15
16,3.8,298,0,2.1,1000.7,32.7,67,1,49,2024/6/15
17,4.2,326,0,1.1,1001,31.2,69,1,38,2024/6/15
18,2.8,360,0,0.3,1001.3,29.6,77,0.7,356,2024/6/15
19,2.6,341,0,0,1001.8,27.9,84,0,0,2024/6/15
20,0.6,46,0,0,1002.2,26.9,91,0,0,2024/6/15
21,0.8,35,0,0,1002.6,26.5,94,0,0,2024/6/15
22,1.7,208,0,0,1003.2,25.9,94,0,0,2024/6/15
23,0.5,263,0,0,1003.4,26,95,0,0,2024/6/15
24,1.5,226,0,0,1003.6,26.1,94,0.2,0,2024/6/15
1,1.4,208,0,0,1003.2,25.9,94,0.4,233,2024/6/16
2,1.4,254,0,0,1003.1,25.7,94,0.3,258,2024/6/16
3,1.2,268,0,0,1003.2,25.5,94,0.1,0,2024/6/16
4,2.5,203,0,0,1003.3,25.6,94,0.8,235,2024/6/16
5,2.8,220,0,0,1003.5,25.6,93,0.6,261,2024/6/16
6,3,275,0,0,1003.7,26.1,93,0.5,233,2024/6/16
7,2.9,255,0,0.5,1004.1,27.9,89,0.7,239,2024/6/16
8,3.9,208,0,1.2,1004.8,29.3,79,0.7,250,2024/6/16
9,2.1,271,0,1,1005,30.3,79,0.5,219,2024/6/16
10,3.1,206,0,2.4,1004.9,32.9,70,0.8,245,2024/6/16
11,2.8,210,0,2.8,1004.9,34.2,65,0.6,184,2024/6/16
12,2.5,126,0,1.7,1004.3,32.3,72,0.3,131,2024/6/16
13,1.9,137,0,2,1003.3,33.7,69,0.5,178,2024/6/16
14,3.6,73,0,2.4,1002.9,32.9,71,0.4,172,2024/6/16
15,3.1,70,0,1.4,1002.6,32.4,71,0.3,26,2024/6/16
16,3.2,82,0,0.9,1002.3,31.4,80,0.4,79,2024/6/16
17,1.6,5,0,0.3,1002.8,30.4,80,0.5,2,2024/6/16
18,3.8,1,0,0.1,1002.9,29.6,88,0.3,37,2024/6/16
19,2.1,327,0,0,1003.5,28.7,92,0.5,40,2024/6/16
20,1.5,21,0,0,1004.6,28.3,94,0,0,2024/6/16
21,0.7,61,0,0,1004.1,27.7,95,0,0,2024/6/16
22,0.5,60,0,0,1004.5,27.3,96,0,0,2024/6/16
23,0,0,0,0,1004.3,27.1,97,0,0,2024/6/16
24,0.5,2,0,0,1004.4,27.1,97,0,0,2024/6/16
1,0,0,0,0,1004.1,26.6,98,0,0,2024/6/17
2,0,0,0,0,1003.6,26.2,98,0,0,2024/6/17
3,0,0,0,0,1003.2,25.7,98,0,0,2024/6/17
4,0,0,0,0,1002.7,26,99,0,0,2024/6/17
5,0,0,0,0,1002.9,26,99,0,0,2024/6/17
6,0,0,0,0,1003.6,26.2,100,0,0,2024/6/17
7,0.6,7,0,0.2,1003.7,26.9,99,0,0,2024/6/17
8,0.6,8,0,0.6,1004,28.2,91,0,0,2024/6/17
9,1.2,35,0,0.5,1004.4,29,85,0,0,2024/6/17
10,1.2,264,0,1.2,1004.3,30.5,77,0.3,289,2024/6/17
11,2.4,229,0,1.8,1004.5,31.9,74,0.7,209,2024/6/17
